Source;Target;Type
32;33;Undirected
33;34;Undirected
33;35;Undirected
35;39;Undirected
36;35;Undirected
36;46;Undirected
37;36;Undirected
38;36;Undirected
38;44;Undirected
39;38;Undirected
39;40;Undirected
40;41;Undirected
40;43;Undirected
41;42;Undirected
43;44;Undirected
43;69;Undirected
44;72;Undirected
44;73;Undirected
45;44;Undirected
46;45;Undirected
48;47;Undirected
48;49;Undirected
48;54;Undirected
49;50;Undirected
50;51;Undirected
51;52;Undirected
52;53;Undirected
54;55;Undirected
54;57;Undirected
55;56;Undirected
57;58;Undirected
57;73;Undirected
57;74;Undirected
58;59;Undirected
59;60;Undirected
59;74;Undirected
60;61;Undirected
61;62;Undirected
62;63;Undirected
63;64;Undirected
64;65;Undirected
64;66;Undirected
66;67;Undirected
68;71;Undirected
69;71;Undirected
69;72;Undirected
72;73;Undirected
72;74;Undirected
73;48;Undirected
74;65;Undirected
