Source;Target;Type
2;1;undirected
3;2;undirected
4;2;undirected
5;4;undirected
6;3;undirected
8;4;undirected
8;7;undirected
9;8;undirected
11;10;undirected
13;7;undirected
13;12;undirected
14;9;undirected
15;5;undirected
15;14;undirected
17;16;undirected
19;18;undirected
20;19;undirected
21;20;undirected
22;21;undirected
23;17;undirected
24;23;undirected
25;18;undirected
25;24;undirected
26;16;undirected
28;27;undirected
29;28;undirected
30;29;undirected
31;30;undirected
33;32;undirected
35;33;undirected
36;32;undirected
36;35;undirected
38;12;undirected
40;37;undirected
40;38;undirected
41;38;undirected
42;17;undirected
42;26;undirected
42;41;undirected
43;26;undirected
43;28;undirected
43;34;undirected
43;41;undirected
