Source;Target;Type
69;70;Undirected
69;96;Undirected
70;71;Undirected
70;92;Undirected
70;95;Undirected
72;73;Undirected
72;75;Undirected
73;87;Undirected
74;79;Undirected
74;85;Undirected
75;74;Undirected
77;76;Undirected
77;78;Undirected
78;75;Undirected
78;90;Undirected
79;78;Undirected
79;83;Undirected
84;83;Undirected
85;84;Undirected
85;87;Undirected
87;88;Undirected
88;84;Undirected
89;77;Undirected
90;89;Undirected
91;89;Undirected
95;73;Undirected
96;91;Undirected
