Source;Target;Type
6;7;Undirected
7;8;Undirected
7;39;Undirected
8;9;Undirected
8;10;Undirected
8;11;Undirected
11;12;Undirected
11;13;Undirected
13;14;Undirected
13;16;Undirected
14;15;Undirected
16;17;Undirected
17;18;Undirected
18;19;Undirected
19;20;Undirected
20;21;Undirected
20;24;Undirected
21;22;Undirected
22;23;Undirected
24;25;Undirected
25;26;Undirected
26;27;Undirected
28;27;Undirected
29;30;Undirected
30;31;Undirected
30;33;Undirected
31;32;Undirected
34;33;Undirected
34;35;Undirected
35;36;Undirected
35;39;Undirected
36;37;Undirected
37;38;Undirected
39;40;Undirected
40;10;Undirected
40;33;Undirected
40;41;Undirected
