Source;Target;Type
69;70;Undirected
70;73;Undirected
71;70;Undirected
71;77;Undirected
72;71;Undirected
72;73;Undirected
73;74;Undirected
74;83;Undirected
75;76;Undirected
77;75;Undirected
77;78;Undirected
78;79;Undirected
79;72;Undirected
79;80;Undirected
80;81;Undirected
82;72;Undirected
82;86;Undirected
83;82;Undirected
84;83;Undirected
84;102;Undirected
85;84;Undirected
85;89;Undirected
85;91;Undirected
85;92;Undirected
86;85;Undirected
86;87;Undirected
87;88;Undirected
89;88;Undirected
89;90;Undirected
90;91;Undirected
91;92;Undirected
92;93;Undirected
93;84;Undirected
94;93;Undirected
94;95;Undirected
95;90;Undirected
95;96;Undirected
97;94;Undirected
98;97;Undirected
99;98;Undirected
100;99;Undirected
101;100;Undirected
102;101;Undirected
